rID,genes,ec,reaction,kegg,reaction_form,Pathway,evid/relia,comment 
R382,sll0622,2.5.1.72,"Pyridine-2,3-dicarboxylate_[cyt] + 2 H2O_[cyt] + Orthophosphate_[cyt] <= Iminoaspartate_[cyt] + Glycerone phosphate_[cyt]",R04292,C03722_[cyt] + 2 C00001_[cyt] + C00009_[cyt] <= C05840_[cyt] + C00111_[cyt],Nicotinamide,A,
R383,slr0936,2.4.2.19,"Nicotinate D-ribonucleotide_[cyt] + Diphosphate_[cyt] + CO2_[cyt] <= Pyridine-2,3-dicarboxylate_[cyt] + 5-Phospho-alpha-D-ribose 1-diphosphate_[cyt] + H+_[cyt]",R03348,C01185_[cyt] + C00013_[cyt] + C00011_[cyt] <= C03722_[cyt] + C00119_[cyt] + C00080_[cyt],Nicotinamide,A,
R384,sll1916,2.7.7.18,ATP_[cyt] + Nicotinate D-ribonucleotide_[cyt] <=> Diphosphate_[cyt] + Deamino-NAD+_[cyt],R03005,C00002_[cyt] + C01185_[cyt] <=> C00013_[cyt] + C00857_[cyt],Nicotinamide,A,
R385,slr0787,2.7.7.1,ATP_[cyt] + Nicotinate D-ribonucleotide_[cyt] <=> Diphosphate_[cyt] + Deamino-NAD+_[cyt],R03005,C00002_[cyt] + C01185_[cyt] <=> C00013_[cyt] + C00857_[cyt],Nicotinamide,A,
R386,slr1691,6.3.5.1,ATP_[cyt] + Deamino-NAD+_[cyt] + L-Glutamine_[cyt] + H2O_[cyt] => AMP_[cyt] + Diphosphate_[cyt] + NAD+_[cyt] + L-Glutamate_[cyt],R00257,C00002_[cyt] + C00857_[cyt] + C00064_[cyt] + C00001_[cyt] => C00020_[cyt] + C00013_[cyt] + C00003_[cyt] + C00025_[cyt],Nicotinamide,A,
R387,sll1415,2.7.1.23,ATP_[cyt] + NAD+_[cyt] => ADP_[cyt] + NADP+_[cyt],R00104,C00002_[cyt] + C00003_[cyt] => C00008_[cyt] + C00006_[cyt],Nicotinamide,A,
R388,slr0400,2.7.1.23,ATP_[cyt] + NAD+_[cyt] => ADP_[cyt] + NADP+_[cyt],R00104,C00002_[cyt] + C00003_[cyt] => C00008_[cyt] + C00006_[cyt],Nicotinamide,A,
R389,slr0788,2.4.2.11,Nicotinate D-ribonucleotide_[cyt] + Diphosphate_[cyt] <=> Nicotinate_[cyt] + 5-Phospho-alpha-D-ribose 1-diphosphate_[cyt] + H+_[cyt],R05223,C01185_[cyt] + C00013_[cyt] <=> C00253_[cyt] + C00119_[cyt] + C00080_[cyt],Nicotinamide,A,
R390,sll0892,4.1.1.11,L-Aspartate_[cyt] => beta-Alanine_[cyt] + CO2_[cyt],R00489,C00049_[cyt] => C00099_[cyt] + C00011_[cyt],Pantothenate and CoA,A,
R391,sll1641,4.1.1.15,L-Aspartate_[cyt] => beta-Alanine_[cyt] + CO2_[cyt],R00489,C00049_[cyt] => C00099_[cyt] + C00011_[cyt],Pantothenate and CoA,A,
R392,slr0526,2.1.2.11,"5,10-Methylenetetrahydrofolate_[cyt] + 3-Methyl-2-oxobutanoic acid_[cyt] + H2O_[cyt] => Tetrahydrofolate_[cyt] + 2-Dehydropantoate_[cyt]",R01226,C00143_[cyt] + C00141_[cyt] + C00001_[cyt] => C00101_[cyt] + C00966_[cyt],Pantothenate and CoA,A,
R393,sll1363,1.1.1.86,(R)-Pantoate_[cyt] + NADP+_[cyt] <=> 2-Dehydropantoate_[cyt] + NADPH_[cyt] + H+_[cyt],R02472,C00522_[cyt] + C00006_[cyt] <=> C00966_[cyt] + C00005_[cyt] + C00080_[cyt],Pantothenate and CoA,D,"sll1363 is coding for Isoleucine, Leucine and ValineC (1.1.1.86) which also can as 2-dehydropantoate 2-reductase (at least in C. glutamicum);  Merkamm et al. 2003"
R394,sll1249,6.3.2.1,ATP_[cyt] + (R)-Pantoate_[cyt] + beta-Alanine_[cyt] => AMP_[cyt] + Diphosphate_[cyt] + Pantothenate_[cyt],R02473,C00002_[cyt] + C00522_[cyt] + C00099_[cyt] => C00020_[cyt] + C00013_[cyt] + C00864_[cyt],Pantothenate and CoA,A,
R395,slr0812,2.7.1.33,ATP_[cyt] + Pantothenate_[cyt] => ADP_[cyt] + D-4'-Phosphopantothenate_[cyt],R03018,C00002_[cyt] + C00864_[cyt] => C00008_[cyt] + C03492_[cyt],Pantothenate and CoA,A,
R396,sll0250,4.1.1.36,(R)-4'-Phosphopantothenoyl-L-cysteine_[cyt] => Pantetheine 4'-phosphate_[cyt] + CO2_[cyt],R03269,C04352_[cyt] => C01134_[cyt] + C00011_[cyt],Pantothenate and CoA,A,
R397,sll0250,6.3.2.5,ATP_[cyt] + D-4'-Phosphopantothenate_[cyt] + L-Cysteine_[cyt] => AMP_[cyt] + Diphosphate_[cyt] + (R)-4'-Phosphopantothenoyl-L-cysteine_[cyt],R04230,C00002_[cyt] + C03492_[cyt] + C00097_[cyt] => C00020_[cyt] + C00013_[cyt] + C04352_[cyt],Pantothenate and CoA,A,
R398,sll0250,6.3.2.5,CTP_[cyt] + D-4'-Phosphopantothenate_[cyt] + L-Cysteine_[cyt] => CMP_[cyt] + Diphosphate_[cyt] + (R)-4'-Phosphopantothenoyl-L-cysteine_[cyt],R04231,C00063_[cyt] + C03492_[cyt] + C00097_[cyt] => C00055_[cyt] + C00013_[cyt] + C04352_[cyt],Pantothenate and CoA,A,
R399,slr0847,2.7.7.3,ATP_[cyt] + Pantetheine 4'-phosphate_[cyt] => Diphosphate_[cyt] + Dephospho-CoA_[cyt],R03035,C00002_[cyt] + C01134_[cyt] => C00013_[cyt] + C00882_[cyt],Pantothenate and CoA,A,
R400,slr0553,2.7.1.24,ATP_[cyt] + Dephospho-CoA_[cyt] => ADP_[cyt] + CoA_[cyt],R00130,C00002_[cyt] + C00882_[cyt] => C00008_[cyt] + C00010_[cyt],Pantothenate and CoA,A,
R401,sll0220,2.6.1.16,L-Glutamine_[cyt] + D-Fructose 6-phosphate_[cyt] <=> L-Glutamate_[cyt] + D-Glucosamine 6-phosphate_[cyt],R00768,C00064_[cyt] + C00085_[cyt] <=> C00025_[cyt] + C00352_[cyt],Peptidoglycan,A,
R402,sll1758,5.4.2.10,alpha-D-Glucosamine 1-phosphate_[cyt] <=> D-Glucosamine 6-phosphate_[cyt],R02060,C06156_[cyt] <=> C00352_[cyt],Peptidoglycan,A,
R403,sll0899,2.3.1.157,Acetyl-CoA_[cyt] + alpha-D-Glucosamine 1-phosphate_[cyt] => CoA_[cyt] + N-Acetyl-alpha-D-glucosamine 1-phosphate_[cyt],R05332,C00024_[cyt] + C06156_[cyt] => C00010_[cyt] + C04501_[cyt],Peptidoglycan,A,
R404,sll0899,2.7.7.23,UTP_[cyt] + N-Acetyl-alpha-D-glucosamine 1-phosphate_[cyt] => Diphosphate_[cyt] + UDP-N-acetyl-D-glucosamine_[cyt],R00416,C00075_[cyt] + C04501_[cyt] => C00013_[cyt] + C00043_[cyt],Peptidoglycan,A,
R405,slr0017,2.5.1.7,Phosphoenolpyruvate_[cyt] + UDP-N-acetyl-D-glucosamine_[cyt] => UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine_[cyt] + Orthophosphate_[cyt],R00660,C00074_[cyt] + C00043_[cyt] => C04631_[cyt] + C00009_[cyt],Peptidoglycan,A,
R406,slr1424,1.1.1.158,UDP-N-acetylmuramate_[cyt] + NADP+_[cyt] <=> UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine_[cyt] + NADPH_[cyt] + H+_[cyt],R03192,C01050_[cyt] + C00006_[cyt] <=> C04631_[cyt] + C00005_[cyt] + C00080_[cyt],Peptidoglycan,A,
R407,slr1423,6.3.2.8,ATP_[cyt] + UDP-N-acetylmuramate_[cyt] + L-Alanine_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + UDP-N-acetylmuramoyl-L-alanine_[cyt],R03193,C00002_[cyt] + C01050_[cyt] + C00041_[cyt] => C00008_[cyt] + C00009_[cyt] + C01212_[cyt],Peptidoglycan,A,
R408,sll2010,6.3.2.9,ATP_[cyt] + UDP-N-acetylmuramoyl-L-alanine_[cyt] + D-Glutamate_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate_[cyt],R02783,C00002_[cyt] + C01212_[cyt] + C00217_[cyt] => C00008_[cyt] + C00009_[cyt] + C00692_[cyt],Peptidoglycan,A,
R409,slr0528,6.3.2.13,"ATP_[cyt] + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate_[cyt] + meso-2,6-Diaminoheptanedioate_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate_[cyt]",R02788,C00002_[cyt] + C00692_[cyt] + C00680_[cyt] => C00008_[cyt] + C00009_[cyt] + C04877_[cyt],Peptidoglycan,A,Jurgens et al. 1983
R410,slr1746,5.1.1.3,L-Glutamate_[cyt] <=> D-Glutamate_[cyt],R00260,C00025_[cyt] <=> C00217_[cyt],Peptidoglycan,A,
R411,slr0827,5.1.1.1,L-Alanine_[cyt] <=> D-Alanine_[cyt],R00401,C00041_[cyt] <=> C00133_[cyt],Peptidoglycan,A,
R412,slr1874,6.3.2.4,ATP_[cyt] + 2 D-Alanine_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + D-Alanyl-D-alanine_[cyt],R01150,C00002_[cyt] + 2 C00133_[cyt] => C00008_[cyt] + C00009_[cyt] + C00993_[cyt],Peptidoglycan,A,
R413,slr1351,6.3.2.10,"ATP_[cyt] + UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate_[cyt] + D-Alanyl-D-alanine_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine_[cyt]",R04617,C00002_[cyt] + C04877_[cyt] + C00993_[cyt] => C00008_[cyt] + C00009_[cyt] + C04882_[cyt],Peptidoglycan,A,
R414,sll0657,2.7.8.13,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine_[cyt] + di-trans,poly-cis-Undecaprenyl phosphate_[cyt] => UMP_[cyt] + Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine_[cy",R05630,C04882_[cyt] + C17556_[cyt] => C00105_[cyt] + C05897_[cyt],Peptidoglycan,A,
R415,slr1656,2.4.1.227,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine_[cyt] + UDP-N-acetyl-D-glucosamine_[cyt] => Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-",R05032,C05897_[cyt] + C00043_[cyt] => C05898_[cyt] + C00015_[cyt],Peptidoglycan,A,
R416,sll1833,2.4.1.129,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine_[cyt] + H2O_[cyt] => di-trans,poly-cis-Undecaprenyl diphosphate_[cyt] + [GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-A2pm-D-Ala-D-Ala)",-,C05898_[cyt] + C00001_[cyt] => C04574_[cyt] + E11_[cyt] + C00133_[cyt],Peptidoglycan,C,"BLAST search: identity 56%, score 670, E-value 0.0  to Peptidoglycan glycosyltransferasefrom Cyanothece sp. PCC 7424"
R417,slr1710,2.4.1.129,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine_[cyt] + H2O_[cyt] => di-trans,poly-cis-Undecaprenyl diphosphate_[cyt] + [GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-A2pm-D-Ala-D-Ala)",-,C05898_[cyt] + C00001_[cyt] => C04574_[cyt] + E11_[cyt] + C00133_[cyt],Peptidoglycan,A,
R418,sll0210,3.6.1.27,"di-trans,poly-cis-Undecaprenyl diphosphate_[cyt] + H2O_[cyt] => di-trans,poly-cis-Undecaprenyl phosphate_[cyt] + Orthophosphate_[cyt]",R05627,C04574_[cyt] + C00001_[cyt] => C17556_[cyt] + C00009_[cyt],Peptidoglycan,A,
R419,sll0018,4.1.2.13,"D-Sedoheptulose 1,7-bisphosphate_[cyt] <= Glycerone phosphate_[cyt] + D-Erythrose 4-phosphate_[cyt]",R01829,C00447_[cyt] <= C00111_[cyt] + C00279_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,Nakahara et al. 2003
R420,slr0943,4.1.2.13,"D-Sedoheptulose 1,7-bisphosphate_[cyt] <= Glycerone phosphate_[cyt] + D-Erythrose 4-phosphate_[cyt]",R01829,C00447_[cyt] <= C00111_[cyt] + C00279_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,Nakahara et al. 2003
R421,slr2094,3.1.3.37,"D-Sedoheptulose 1,7-bisphosphate_[cyt] + H2O_[cyt] => D-Sedoheptulose 7-phosphate_[cyt] + Orthophosphate_[cyt]",R01845,C00447_[cyt] + C00001_[cyt] => C05382_[cyt] + C00009_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R422,slr1843,1.1.1.49,"D-Glucose 6-phosphate_[cyt] + NADP+_[cyt] => D-Glucono-1,5-lactone 6-phosphate_[cyt] + NADPH_[cyt] + H+_[cyt]",R00835,C00092_[cyt] + C00006_[cyt] => C01236_[cyt] + C00005_[cyt] + C00080_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R423,sll1479,3.1.1.31,"D-Glucono-1,5-lactone 6-phosphate_[cyt] + H2O_[cyt] => 6-Phospho-D-gluconate_[cyt]",R02035,C01236_[cyt] + C00001_[cyt] => C00345_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R424,sll0329,1.1.1.44,6-Phospho-D-gluconate_[cyt] + NADP+_[cyt] => D-Ribulose 5-phosphate_[cyt] + CO2_[cyt] + NADPH_[cyt] + H+_[cyt],R01528,C00345_[cyt] + C00006_[cyt] => C00199_[cyt] + C00011_[cyt] + C00005_[cyt] + C00080_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R425,slr0194,5.3.1.6,D-Ribose 5-phosphate_[cyt] <=> D-Ribulose 5-phosphate_[cyt],R01056,C00117_[cyt] <=> C00199_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R426,ssl2153,5.3.1.6,D-Ribose 5-phosphate_[cyt] <=> D-Ribulose 5-phosphate_[cyt],R01056,C00117_[cyt] <=> C00199_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R427,sll1070,2.2.1.1,D-Sedoheptulose 7-phosphate_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt] <=> D-Ribose 5-phosphate_[cyt] + D-Xylulose 5-phosphate_[cyt],R01641,C05382_[cyt] + C00118_[cyt] <=> C00117_[cyt] + C00231_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R428,sll1070,2.2.1.1,D-Fructose 6-phosphate_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt] <=> D-Erythrose 4-phosphate_[cyt] + D-Xylulose 5-phosphate_[cyt],R01067,C00085_[cyt] + C00118_[cyt] <=> C00279_[cyt] + C00231_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R429,sll0807,5.1.3.1,D-Ribulose 5-phosphate_[cyt] <=> D-Xylulose 5-phosphate_[cyt],R01529,C00199_[cyt] <=> C00231_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R430,slr1793,2.2.1.2,D-Sedoheptulose 7-phosphate_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt] <=> D-Erythrose 4-phosphate_[cyt] + D-Fructose 6-phosphate_[cyt],R08575,C05382_[cyt] + C00118_[cyt] <=> C00279_[cyt] + C00085_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R431,"slr0009, slr0012",4.1.1.39,"D-Ribulose 1,5-bisphosphate_[cax] + 0.97 CO2_[cax] + 0.97 H2O_[cax] + 0.03 Oxygen_[cax] => 1.97 3-Phospho-D-glycerate_[cax] + 0.03 2-Phosphoglycolate_[cax]",R00024,C01182_[cax] + 0.97 C00011_[cax] + 0.97 C00001_[cax] + 0.03 C00007_[cax] => 1.97 C00197_[cax] + 0.03 C00988_[cax],Pentose phosphate pathway & Calvin-Benson Cycle,A,RuBisCO including a forced photorespiration rate of 3 %
R432,sll1525,2.7.1.19,"ATP_[cyt] + D-Ribulose 5-phosphate_[cyt] => ADP_[cyt] + D-Ribulose 1,5-bisphosphate_[cyt]",R01523,C00002_[cyt] + C00199_[cyt] => C00008_[cyt] + C01182_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R433,sll0469,2.7.6.1,ATP_[cyt] + D-Ribose 5-phosphate_[cyt] <=> AMP_[cyt] + 5-Phospho-alpha-D-ribose 1-diphosphate_[cyt],R01049,C00002_[cyt] + C00117_[cyt] <=> C00020_[cyt] + C00119_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R434,sll0036,4.2.3.3,Glycerone phosphate_[cyt] => Methylglyoxal_[cyt] + Orthophosphate_[cyt],R01016,C00111_[cyt] => C00546_[cyt] + C00009_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R435,slr0381,4.4.1.5,(R)-S-Lactoylglutathione_[cyt] <=> Glutathione_[cyt] + Methylglyoxal_[cyt],R02530,C03451_[cyt] <=> C00051_[cyt] + C00546_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R436,sll1019 or slr1259,3.1.2.6,(R)-S-Lactoylglutathione_[cyt] + H2O_[cyt] => Glutathione_[cyt] + (R)-Lactate_[cyt],R01736,C03451_[cyt] + C00001_[cyt] => C00051_[cyt] + C00256_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R437,sll0529,4.1.2.22,D-Fructose 6-phosphate_[cyt] + Orthophosphate_[cyt] => Acetyl phosphate_[cyt] + D-Erythrose 4-phosphate_[cyt] + H2O_[cyt],R00761,C00085_[cyt] + C00009_[cyt] => C00227_[cyt] + C00279_[cyt] + C00001_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,C,"BLAST search: identity 80.4 %, score 1203, E-value 0.0  to D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase from Cyanothece sp. PCC 8801"
R438,slr0453,4.1.2.22,D-Fructose 6-phosphate_[cyt] + Orthophosphate_[cyt] => Acetyl phosphate_[cyt] + D-Erythrose 4-phosphate_[cyt] + H2O_[cyt],R00761,C00085_[cyt] + C00009_[cyt] => C00227_[cyt] + C00279_[cyt] + C00001_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,C,"BLAST search: identity 67 %, score 1163, E-value 0.0  to D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase from Acaryochloris marina MBIC11017"
R439,sll0529,4.1.2.22,D-Xylulose 5-phosphate_[cyt] + Orthophosphate_[cyt] => Acetyl phosphate_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt] + H2O_[cyt],R01621,C00231_[cyt] + C00009_[cyt] => C00227_[cyt] + C00118_[cyt] + C00001_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,C,"BLAST search: identity 80.4 %, score 1203, E-value 0.0  to D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase from Cyanothece sp. PCC 8801"
R440,slr0453,4.1.2.22,D-Xylulose 5-phosphate_[cyt] + Orthophosphate_[cyt] => Acetyl phosphate_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt] + H2O_[cyt],R01621,C00231_[cyt] + C00009_[cyt] => C00227_[cyt] + C00118_[cyt] + C00001_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,C,"BLAST search: identity 67 %, score 1163, E-value 0.0  to D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase from Acaryochloris marina MBIC11017"
R441,sll0745,2.7.1.11,"ATP_[cyt] + Sedoheptulose 7-phosphate_[cyt] => ADP_[cyt] + Sedoheptulose1,7-bisphosphate_[cyt]",R01843,C00002_[cyt] + C05382_[cyt] => C00008_[cyt] + C00447_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R442,sll1196,2.7.1.11,"ATP_[cyt] + Sedoheptulose 7-phosphate_[cyt] => ADP_[cyt] + Sedoheptulose1,7-bisphosphate_[cyt]",R01843,C00002_[cyt] + C05382_[cyt] => C00008_[cyt] + C00447_[cyt],Pentose phosphate pathway & Calvin-Benson Cycle,A,
R443,-,-,1 Photon_[ext] => 1 Photon_[tlm],-,E1_[ext] => E1_[tlm],Photosynthesis and Respiratory Chain,-,Photon input
R444,-,-,1 Photon_[tlm] => 1 Photon_P680_[tlm],-,E1_[tlm] => E1_P680_[tlm],Photosynthesis and Respiratory Chain,-,
R445,-,-,1 Photon_[tlm] => 1 Photon_P700_[tlm],-,E1_[tlm] => E1_P700_[tlm],Photosynthesis and Respiratory Chain,-,
R446,"slr1281, sll1732, sll0520, sll0027, ssr1386, slr0844, sll0223, sll1733, sll0522, sll0519, slr1291, slr0331, sll0521, sll0026, slr1279, slr0261, slr1280, slr1623, sll1262, slr2007, slr2009, ssl0352",1.6.5.3,NADPH_[cyt] + 5 H+_[cyt] + PQ_[tlm] => NADP+_[cyt] + PQH2_[tlm] + 4 H+_[tll],-,C00005_[cyt] + 5 C00080_[cyt] + C10385_[tlm] => C00006_[cyt] + C16695_[tlm] + 4 C00080_[tll],Photosynthesis and Respiratory Chain,-,cyclic electron flow at PSI; Mi et al. 1992;Ogawa and Mi 2007; Battchikova 2011
R447,"slr1281, sll0520, ssr1386, slr0844, sll0223, sll0522, sll0519, slr1291, slr0331, sll0521, slr1279, slr0261, slr1280, slr1623, sll1262, slr2007, slr2009, ssl0352",1.6.5.3,NADPH_[cyt] + 5 H+_[cyt] + PQ_[cym] => NADP+_[cyt] + PQH2_[cym] + 4 H+_[pps],-,C00005_[cyt] + 5 C00080_[cyt] + C10385_[cym] => C00006_[cyt] + C16695_[cym] + 4 C00080_[pps],Photosynthesis and Respiratory Chain,A,NADPH I Dehydrogenase. NADPH is preferred (Cooley and Vermaas 2001)
R448,"slr1281, sll1732, sll0520, sll0027, ssr1386, slr0844, sll0223, sll1733, sll1734, sll0522, sll0519, slr1291, slr0331, sll0521, sll0026, slr1279, slr0261, slr1280, slr1623, sll1262, slr2007, slr2009, ssl0352, slr1302",1.6.5.3,NADPH_[cyt] + 4 H+_[cyt] + PQ_[tlm] + H2O_[cyt] + CO2_[tll] => NADP+_[cyt] + PQH2_[tlm] + 4 H+_[tll] + HCO3-_[cyt],-,C00005_[cyt] + 4 C00080_[cyt] + C10385_[tlm] + C00001_[cyt] + C00011_[tll] => C00006_[cyt] + C16695_[tlm] + 4 C00080_[tll] + C00288_[cyt],Photosynthesis and Respiratory Chain,A,NADPH I Dehydrogenase. NADPH is preferred (Cooley and Vermaas 2001)
R449,"slr1281, sll1732, sll0520, sll0027, ssr1386, slr0844, sll0223, sll1733, sll1734, sll0522, sll0519, slr1291, slr0331, sll0521, sll0026, slr1279, slr0261, slr1280, slr1623, sll1262, slr2007, slr2009, ssl0352, slr1302",1.6.5.3,NADPH_[cyt] + 4 H+_[cyt] + PQ_[cym] + H2O_[cyt] + CO2_[pps] => NADP+_[cyt] + PQH2_[cym] + 4 H+_[pps] + HCO3-_[cyt],-,C00005_[cyt] + 4 C00080_[cyt] + C10385_[cym] + C00001_[cyt] + C00011_[pps] => C00006_[cyt] + C16695_[cym] + 4 C00080_[pps] + C00288_[cyt],Photosynthesis and Respiratory Chain,A,NADPH I Dehydrogenase. NADPH is preferred (Cooley and Vermaas 2001)
R450,sll1484,1.6.99.3,NADH_[cyt] + H+_[cyt] + PQ_[tlm] => NAD+_[cyt] + PQH2_[tlm],-,C00004_[cyt] + C10385_[tlm] + C00080_[cyt] => C00003_[cyt] + C16695_[tlm],Photosynthesis and Respiratory Chain,A,"NADH II Dehydrogenase, no proton pumping (Cooley and Vermaas 2001), NADH is preferred (Melo et al. 2004)"
R451,slr0851,1.6.99.3,NADH_[cyt] + H+_[cyt] + PQ_[tlm] => NAD+_[cyt] + PQH2_[tlm],-,C00004_[cyt] + C10385_[tlm] + C00080_[cyt] => C00003_[cyt] + C16695_[tlm],Photosynthesis and Respiratory Chain,A,"NADH II Dehydrogenase, no proton pumping (Cooley and Vermaas 2001), NADH is preferred (Melo et al. 2004)"
R452,slr1743,1.6.99.3,NADH_[cyt] + H+_[cyt] + PQ_[tlm] => NAD+_[cyt] + PQH2_[tlm],-,C00004_[cyt] + C10385_[tlm] + C00080_[cyt] => C00003_[cyt] + C16695_[tlm],Photosynthesis and Respiratory Chain,A,"NADH II Dehydrogenase, no proton pumping (Cooley and Vermaas 2001), NADH is preferred (Melo et al. 2004)"
R453,sll1484,1.6.99.3,NADH_[cyt] + H+_[cyt] + PQ_[cym] => NAD+_[cyt] + PQH2_[cym],-,C00004_[cyt] + C10385_[cym] + C00080_[cyt] => C00003_[cyt] + C16695_[cym],Photosynthesis and Respiratory Chain,A,"NADH II Dehydrogenase, no proton pumping (Cooley and Vermaas 2001), NADH is preferred (Melo et al. 2004)"
R454,slr0851,1.6.99.3,NADH_[cyt] + H+_[cyt] + PQ_[cym] => NAD+_[cyt] + PQH2_[cym],-,C00004_[cyt] + C10385_[cym] + C00080_[cyt] => C00003_[cyt] + C16695_[cym],Photosynthesis and Respiratory Chain,A,"NADH II Dehydrogenase, no proton pumping (Cooley and Vermaas 2001), NADH is preferred (Melo et al. 2004)"
R455,slr1743,1.6.99.3,NADH_[cyt] + H+_[cyt] + PQ_[cym] => NAD+_[cyt] + PQH2_[cym],-,C00004_[cyt] + C10385_[cym] + C00080_[cyt] => C00003_[cyt] + C16695_[cym],Photosynthesis and Respiratory Chain,A,"NADH II Dehydrogenase, no proton pumping (Cooley and Vermaas 2001), NADH is preferred (Melo et al. 2004)"
R456,"sll0813, slr2082, slr2083",1.9.3.1,4 Reduced plastocyanin_[tll] + Oxygen_[cyt] + 8 H+_[cyt] => 4 Oxidized plastocyanin_[tll] + 4 H+_[tll] + 2 H2O_[cyt],-,4 C03025_[tll] + C00007_[cyt] + 8 C00080_[cyt] => 4 C03162_[tll] + 4 C00080_[tll] + 2 C00001_[cyt],Photosynthesis and Respiratory Chain,A,
R457,"slr1136, slr1137, slr1138",1.9.3.1,4 Reduced plastocyanin_[tll] + Oxygen_[cyt] + 8 H+_[cyt] => 4 Oxidized plastocyanin_[tll] + 4 H+_[tll] + 2 H2O_[cyt],-,4 C03025_[tll] + C00007_[cyt] + 8 C00080_[cyt] => 4 C03162_[tll] + 4 C00080_[tll] + 2 C00001_[cyt],Photosynthesis and Respiratory Chain,A,
R458,"sll0813, slr2082, slr2083",1.9.3.1,4 Reduced plastocyanin_[pps] + Oxygen_[cyt] + 8 H+_[cyt] => 4 Oxidized plastocyanin_[pps] + 4 H+_[pps] + 2 H2O_[cyt],-,4 C03025_[pps] + C00007_[cyt] + 8 C00080_[cyt] => 4 C03162_[pps] + 4 C00080_[pps] + 2 C00001_[cyt],Photosynthesis and Respiratory Chain,A,
